E0000017,	駐外機構組織通則,
G0300006,	財政部各地區支付處組織通則,
G0300005,	財政部各地區國稅局組織通則,
G0300030,	財政部國有財產局各地區辦事處組織通則,
G0300027,	財政部關稅總局各地區關稅局組織通則,
G0340108,	地方稅法通則,
I0040043,	少年矯正學校設置及教育實施通則,
I0040018,	少年觀護所設置及實施通則,
I0000011,	法務部戒治所組織通則,
I0000006,	看守所組織通則,
I0000005,	監獄組織通則,
N0000003,	行政院勞工委員會職業訓練局職業訓練中心組織通則,
P0000002,	行政院新聞局駐外新聞機構組織通則,
F0000082,	榮民總醫院組織通則,
A0020057,	立法院各委員會辦事通則,
U0000002,	審計處室組織通則,
